T:StockSharp.Xaml.ExtensionInfoPicker/summary;DocStr8202
M:StockSharp.Xaml.ExtensionInfoPicker.#ctor/summary;DocStr1
F:StockSharp.Xaml.ExtensionInfoPicker.SelectedExtensionInfoProperty/summary;DocStr29
P:StockSharp.Xaml.ExtensionInfoPicker.SelectedExtensionInfo/summary;ExtendedInfo
M:StockSharp.Xaml.ExtensionInfoPicker.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.ExtensionInfoWindow/summary;DocStr8203
M:StockSharp.Xaml.ExtensionInfoWindow.#ctor/summary;DocStr1
P:StockSharp.Xaml.ExtensionInfoWindow.Data/summary;ExtendedInfo
M:StockSharp.Xaml.ExtensionInfoWindow.InitializeComponent/summary;DocStr8
T:StockSharp.Xaml.Extensions/summary;DocStr4290
M:StockSharp.Xaml.Extensions.LoadWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Xaml.Extensions.LoadWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/param/window;DocStr9966
M:StockSharp.Xaml.Extensions.LoadWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.Extensions.SaveWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Xaml.Extensions.SaveWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/param/window;DocStr9966
M:StockSharp.Xaml.Extensions.SaveWindowSettings(System.Windows.Window,Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Xaml.Extensions.SaveDevExpressControl(System.Windows.DependencyObject)/summary;DocStr9967
M:StockSharp.Xaml.Extensions.SaveDevExpressControl(System.Windows.DependencyObject)/param/obj;DocStr9968
M:StockSharp.Xaml.Extensions.SaveDevExpressControl(System.Windows.DependencyObject)/returns;Settings
M:StockSharp.Xaml.Extensions.LoadDevExpressControl(System.Windows.DependencyObject,System.String)/summary;DocStr9969
M:StockSharp.Xaml.Extensions.LoadDevExpressControl(System.Windows.DependencyObject,System.String)/param/obj;DocStr9968
M:StockSharp.Xaml.Extensions.LoadDevExpressControl(System.Windows.DependencyObject,System.String)/param/settings;Settings
M:StockSharp.Xaml.Extensions.TryOpenLink(System.String,System.Windows.DependencyObject)/summary;DocStr10217
M:StockSharp.Xaml.Extensions.TryOpenLink(System.String,System.Windows.DependencyObject)/param/url;Str221
M:StockSharp.Xaml.Extensions.TryOpenLink(System.String,System.Windows.DependencyObject)/param/owner;DocStr8719
M:StockSharp.Xaml.Extensions.SaveLayout(DevExpress.Xpf.Docking.DockLayoutManager)/summary;DocStr8190
M:StockSharp.Xaml.Extensions.SaveLayout(DevExpress.Xpf.Docking.DockLayoutManager)/param/manager;DocStr10427
M:StockSharp.Xaml.Extensions.SaveLayout(DevExpress.Xpf.Docking.DockLayoutManager)/returns;DocStr8193
M:StockSharp.Xaml.Extensions.LoadLayout(DevExpress.Xpf.Docking.DockLayoutManager,System.String)/summary;DocStr8194
M:StockSharp.Xaml.Extensions.LoadLayout(DevExpress.Xpf.Docking.DockLayoutManager,System.String)/param/manager;DocStr10427
M:StockSharp.Xaml.Extensions.LoadLayout(DevExpress.Xpf.Docking.DockLayoutManager,System.String)/param/layout;DocStr8193
M:StockSharp.Xaml.Extensions.GetStrategyProcessStateIconName(StockSharp.Algo.Strategies.Strategy)/summary;DocStr10530
M:StockSharp.Xaml.Extensions.GetStrategyProcessStateIconName(StockSharp.Algo.Strategies.Strategy)/param/strategy;Strategy
M:StockSharp.Xaml.Extensions.GetStrategyProcessStateIconName(StockSharp.Algo.Strategies.Strategy)/returns;DocStr10531
M:StockSharp.Xaml.Extensions.GetPriceTextFormat(StockSharp.BusinessEntities.Security)/summary;DocStr11008
