M:StockSharp.Community.IFileService.FinishDownload(System.Guid,System.Boolean)/summary;DocStr9781
M:StockSharp.Community.IFileService.FinishDownload(System.Guid,System.Boolean)/param/operationId;DocStr9095
M:StockSharp.Community.IFileService.FinishDownload(System.Guid,System.Boolean)/param/isCancel;DocStr9103
M:StockSharp.Community.IFileService.BeginUpload(System.Guid,System.String,System.Boolean)/summary;DocStr9099
M:StockSharp.Community.IFileService.BeginUpload(System.Guid,System.String,System.Boolean)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.BeginUpload(System.Guid,System.String,System.Boolean)/param/fileName;Str2002
M:StockSharp.Community.IFileService.BeginUpload(System.Guid,System.String,System.Boolean)/param/isPublic;DocStr9033
M:StockSharp.Community.IFileService.BeginUpload(System.Guid,System.String,System.Boolean)/returns;DocStr9093
M:StockSharp.Community.IFileService.BeginUploadExisting(System.Guid,System.Int64)/summary;DocStr9099
M:StockSharp.Community.IFileService.BeginUploadExisting(System.Guid,System.Int64)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.BeginUploadExisting(System.Guid,System.Int64)/param/id;DocStr9031
M:StockSharp.Community.IFileService.BeginUploadExisting(System.Guid,System.Int64)/returns;DocStr9093
M:StockSharp.Community.IFileService.ProcessUpload(System.Guid,System.Byte[])/summary;DocStr9100
M:StockSharp.Community.IFileService.ProcessUpload(System.Guid,System.Byte[])/param/operationId;DocStr9101
M:StockSharp.Community.IFileService.ProcessUpload(System.Guid,System.Byte[])/param/bodyPart;DocStr9098
M:StockSharp.Community.IFileService.ProcessUpload(System.Guid,System.Byte[])/returns;DocStr3021
M:StockSharp.Community.IFileService.FinishUpload(System.Guid,System.Boolean)/summary;DocStr9102
M:StockSharp.Community.IFileService.FinishUpload(System.Guid,System.Boolean)/param/operationId;DocStr9101
M:StockSharp.Community.IFileService.FinishUpload(System.Guid,System.Boolean)/param/isCancel;DocStr9103
M:StockSharp.Community.IFileService.FinishUpload(System.Guid,System.Boolean)/returns;DocStr9031
M:StockSharp.Community.IFileService.Delete(System.Guid,System.Int64)/summary;DocStr9104
M:StockSharp.Community.IFileService.Delete(System.Guid,System.Int64)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.Delete(System.Guid,System.Int64)/param/id;DocStr9031
M:StockSharp.Community.IFileService.Delete(System.Guid,System.Int64)/returns;DocStr3021
M:StockSharp.Community.IFileService.GetUploadLimit(System.Guid)/summary;DocStr10166
M:StockSharp.Community.IFileService.GetUploadLimit(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.IFileService.GetUploadLimit(System.Guid)/returns;DocStr10167
T:StockSharp.Community.INotificationService/summary;DocStr3014
M:StockSharp.Community.INotificationService.GetSmsCount(System.Guid)/summary;DocStr3015
M:StockSharp.Community.INotificationService.GetSmsCount(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.GetSmsCount(System.Guid)/returns;DocStr3016
M:StockSharp.Community.INotificationService.GetEmailCount(System.Guid)/summary;DocStr3017
M:StockSharp.Community.INotificationService.GetEmailCount(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.GetEmailCount(System.Guid)/returns;DocStr3018
M:StockSharp.Community.INotificationService.SendSms(System.Guid,System.String)/summary;DocStr3019
M:StockSharp.Community.INotificationService.SendSms(System.Guid,System.String)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.SendSms(System.Guid,System.String)/param/message;DocStr3020
M:StockSharp.Community.INotificationService.SendSms(System.Guid,System.String)/returns;DocStr3021
M:StockSharp.Community.INotificationService.SendEmail(System.Guid,System.String,System.String)/summary;DocStr3022
M:StockSharp.Community.INotificationService.SendEmail(System.Guid,System.String,System.String)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.SendEmail(System.Guid,System.String,System.String)/param/title;DocStr3023
M:StockSharp.Community.INotificationService.SendEmail(System.Guid,System.String,System.String)/param/body;DocStr3020
M:StockSharp.Community.INotificationService.SendEmail(System.Guid,System.String,System.String)/returns;DocStr3021
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/summary;DocStr9451
