Str362;Security name.;Название инструмента.
Str363;Short name;Короткое название
Str364;Short security name.;Короткое название инструмента.
Str365;Volume step;Шаг объема
Str366;Minimum volume step.;Минимальный шаг объема.
LotVolume;Lot volume.;Объем лота.
PriceStep;Price step;Шаг цены
MinPriceStep;Minimum price step.;Минимальный шаг цены.
ExpiryDate;Expiry date;Дата экспирация
Str371;Security expiry date (for derivatives - expiry, for bonds — redemption).;Дата экспирация инструмента (для деривативов - экспирация, для облигаций - погашение).
PaymentDate;Payment date;Дата выплат
Str373;Payment date for security (for derivatives and bonds).;Дата выплат по инструмента (для деривативов и облигаций).
UnderlyingAsset;Underlying asset;Базовый актив
UnderlyingAssetCode;Underlying asset code, on which the current security is based.;Код базового актива, на основе которого построен данный инструмент.
Strike;Strike;Страйк
OptionStrikePrice;Option strike price.;Страйк цена опциона.
OptionsContract;Options contract;Опцион
OptionContractType;Option contract type.;Тип опциона.
BinaryOption;Binary option;Бинарный опцион
TypeBinaryOption;Type of binary option;Тип бинарного опциона.
Str382;Trading security currency.;Валюта торгового инструмента.
Class;Class;Класс
SecurityClass;Security class.;Класс инструмента.
Trading;Trading;Торгуется
TradingSuspended;Trading suspended;Торги приостановлены
Stock;Stock;Акция
FutureContract;Future contract;Фьючерс
Index;Index;Индекс
Bond;Bond;Облигация
Warrant;Warrant;Варрант
Forward;Forward;Форвард
Swap;Swap;Своп
Product;Product;Товар
Str395;News;Новость
Weather;Weather;Погода
ShareFund;Share (Open-end fund);Паи
Str398;Cryptocurrency;Крипто-валюта
Str399;Assigned;Назначена
Str400;Suspended;Приостановлена
Str401;Completed (forced) ;Завершена (принудительно)
Str402;Completed ;Завершена
Str403;Buy;Покупка
Str404;Sell;Продажа
Str405;Put in queue;Поставить в очередь
Str406;Fill or kill;Немедленно или отклонить
Str407;Immediate Or Cancel;Снять остаток
Str408;Work mode (time, holidays etc.).;Режим работы (время, выходные дни и т.д.).
Str409;Periods;Периоды
Str410;Schedule validity periods.;Периоды действия расписания.
Str411;Working days;Рабочие дни
Str412;Working days, falling on Saturday and Sunday.;Рабочие дни, выпадающие на субботу и воскресенье.
Str413;Holidays;Выходные дни
Str414;Holidays that fall on workdays.;Выходные дни, выпадающие на будни.
Str415Params;Value {0} duplicated in dates collection.;Значение {0} дублируется в коллекции дат.
Str416;Schedule;Расписание
Str417;Schedule validity period.;Период действия расписания.
Str418;End date;Дата окончания
Str419;Schedule expiration date.;Дата окончания действия расписания.
Str420;Work schedule within day.;Расписание работы внутри дня.
Str421Params;Inserted quote must have price {0}. Current price is equal to {1}.;Вложенная котировка должна иметь цену {0}. Текущая цена равна {1}.
Str422Params;Inserted quote must have {0} direction. Current direction is {1}.;Вложенная котировка должна иметь направление {0}. Текущее направление {1}.
Str423Params;Inserted quote must be for security {0}. Current security {1}.;Вложенная котировка должна быть для инструмента {0}. Текущий инструмент {1}.
Str424;Position size at the beginning of the trading session.;Размер позиции на начало торговой сессии.
Str425;Current position size.;Размер позиции на текущий момент.
Str426;Position size, registered for active orders.;Размер позиции, зарезервированной под активные заявки.
Str427;Required when extra information is stored in the program.;Необходима в случае хранения в программе дополнительной информации.
Str428;Position cost, calculated using current market price of security.;Стоимость позиции, расчитанная по текущей рыночной цене инструмента.
Str429;Average price, calculated using execution prices.;Средневзвешанная цена, расчитанная по ценам исполнения.
Str430;Unrealized profit, calculated with including open position.;Нереализованная прибыль, расчитанная с учетом открытой позиции.
Str431;Realized profit, calculated from closed trades.;Реализованная прибыль, расчитанная по закрытым сделкам.
Str432;Variation margin.;Вариационная маржа.
Str433;Total commission.;Общий размер комиссий.
Str434;Changed;Изменен
Str435;Time of last position change.;Время последнего изменения позиции.
Str436;Statistics;Статистика
Str437;Derivatives;Деривативы
Str479;Stock exchange, where board is situated.;Биржа, на которой расположена площадка.
Str480;Wrong maximum depth value of market depth.;Неправильное значение максимальной глубины стакана.
Str481;New depth can not be negative.;Новая глубина не может быть отрицательной.
Str482Params;New depth can not be greater than the current {0}.;Новая глубина не может быть большу текущей {0}.
Str483;Depth index can not be negative.;Индекс глубины не может быть отрицательным.
Str484;Depth can not be negative.;Глубина не может быть отрицательной.
Str485;Incoming quotes did not pass verification.;Поступающие котировки не прошли проверку.
Str486Params;Market depth exceeded a maximum depth of {0} and become equal to {1}.;Стакан превысил максимальную глубину {0} и стал равен {1}.
Str487;Quote for specified price is missing.;Котировка для заданной цены не была найдена.
Str488;Quote price is incorrect.;Цена котировки неправильная.
Str489;Cannot delete negative volume.;Невозможно удалить отрицательный объём.
Str490Params;Volume of quote {0} is less than the required deletion volume.;Объем котировки {0} меньше требуемого объёма для удаления.
Str491Params;Quote has a wrong security {0} for market depth for {1}.;Котировка имеет неправильный инструмент {0} по стакану для {1}.
Str492;Bid can only be to buy.;Бид может быть только на покупку.
Str493;Ask can only be to buy.;Оффер может быть только на продажу.
Str494;Quote to buy.;Котировка на покупку.
Str495;Quote to sell.;Котировка на продажу.
Str496;Price spread;Спред по цене
Str497;Size of price spread.;Размер спреда по цене.
Str498;Volume spread.;Спреда по объему.
Str499;Size of volume spread. If value is negative, then best ask has a larger volume than best bid.;Размер спреда по объему. Если значение отрицательное, значит лучший оффер имеет больший объем, чем лучший бид.
Str500;Spread;Спред
Str501;Spread middle.;Середина спреда.
Str502;Own trade;Собственная сделка
Str503;Information about own trade.;Информация о собственной сделке.
Str504;Order;Заявка
Str505;Order, for which a trade was filled.;Заявка, по которой совершена сделка.
Str506;Trade;Сделка
Str507;Information about the trade;Информация о сделке.
Str509Params;{0} from order {1};{0} от заявки {1}
Str510;News, released for a particular security, whole board or globally for the market.;Новость, выпущенная для конкретного инструмента, всей площадки или глобально по рынку.
Str511;Stock exchange board;Биржевая площадка
Str512;Stock exchange board, for which news have been published.;Биржевая площадка, для которой опубликована новость.
Str513;Security, for which news have been published.;Инструмент, для которого опубликована новость.
Str514;Time (local);Время (локальное)
Str515;News received local time.;Локальное время получения новости.
Str516;Information about the order.;Информация о заявке.
Str517;Latency in registration;Задержка при регистрации
Str518;Time taken to register an order.;Время, которое потребовалось для регистрации заявки.
Str519;Latency in cancellation;Задержка при отмене
Str520;Time taken to cancel an order.;Время, которое потребовалось для отмены заявки.
Str521;ID (string);Идентификатор (строка)
Str522;Placing time;Время выставления
Str523;Order placing time on stock exchange.;Время выставления заявки на бирже.
Str524;Security, for which an order is being placed.;Инструмент, по которому выставляется заявка.
Str525;Portfolio, in which the order is being traded.;Портфель, в рамках которого торгуется заявка.
Str526;Messages for order;Сообщения к заявке
Str527;Messages for order (created by the trading system when registered, changed or cancelled).;Сообщения к заявке (создаются торговой системой при регистрации, изменении или снятии).
Str528;Time of last change;Время последнего изменения
Str529;Time of last order change (Cancellation, Fill).;Время последнего изменения заявки (Снятие, Сведение).
Str530;Last change local time;Локальное время последнего изменения
Str531;Last trade change local time (Cancellation, Fill).;Локальное время последнего изменения заявки (Снятие, Сведение).
Str532;Tied order;Связанная заявка
Str533;Order created by a stop-order during condition activation (empty value, if stop-condition has not been activated).;Биржевая заявка, которая была создана стоп-заявкой при активации условия (пустое значение, если стоп-условие еще не было активировано).
Str534Params;{0}/{1} {2} Price={3} Volume={4} State={5} Score={6};{0}/{1} {2} Цена={3} Объем={4} Сост={5} Бал={6}
Str535;Orders log item.;Строка лога заявок.
Str536Params;{0} orders {1};{0} заявки {1}
Str537;Cancellation;Снятие
Str538;Registration;Регистрация
Str539;Combination;Сведение
Str540Params; per trade {0}; на сделку {0}
Str541;Portfolio, describing the trading account and the size of its generated commission.;Портфель, описывающий торговый счет и размер сгенерированной комиссии по нему.
Str542;Shoulder;Плечо
Str543;Margin shoulder.;Плечо маржи.
Str544;Stock exchange board, for which the current portfolio is active.;Биржевая площадка, для которой действует данный портфель.
Str545;Anonymous account;Анонимный счет
Str546;Security (shares, futures, options etc.).;Инструмент (акция, фьючерс, опцион и т.д.).
Str547;Accuracy;Точность
Str548;Number of digits in price after coma.;Количество знаков в цене после запятой.
Str549;Stock exchange board where the security is traded.;Биржевая площадка, на которой торгуется инструмент.
Str550;Underlying asset on which the current security is built.;Базовый актив, на основе которого построен данный инструмент.
Str551;Option contract type;Тип опциона
Str552;Binary;Бинарный
Str553;External ID;Внешний идентификатор
Str554;Security ID in other systems.;Идентификатор инструмента в других системах.
Str555;Step price.;Стоимость шага цены.
Str556;Step price can not be less than zero.;Стоимость шага цены не может быть меньше нуля.
Str557;Information about the last trade.;Информация о последней сделке.
Str558;First trade price;Первая цена сделки
Str559;First trade price for the session.;Первая цена сделки за сессию.
Str560;Last trade price;Последняя цена сделки
Str561;Last trade price for the previous session.;Последняя цена сделки за предыдущую сессию.
Str562;Lowest price for the session.;Наименьшая цена сделки за сессию.
Str563;Highest price;Наивысшая цена
Str564;Highest price for the session.;Наивысшая цена сделки за сессию.
Str565;Best bid;Лучшая покупка
Str566;Best bid in market depth.;Лучшая покупка в стакане.
BestAsk;Best ask;Лучшая продажа
BestAskDesc;Best ask in market depth.;Лучшая продажа в стакане.
Str569;Current state of security.;Текущее состояние инструмента.
PriceMin;Price (min);Цена (мин)
PriceMinLimit;Lower price limit.;Нижний лимит цены.
PriceMax;Price (max);Цена (макс)
PriceMaxLimit;Upper price limit.;Верхний лимит цены.
MarginBuy;Initial margin to buy.;Гарантийное обеспечение на покупку.
MarginSell;Initial margin to sell.;Гарантийное обеспечение на продажу.
TheoreticalPrice;Theoretical price.;Теоретическая цена.
OptionDelta;Option delta.;Дельта опциона.
OptionGamma;Option gamma.;Гамма опциона.
OptionVega;Option vega.;Вега опциона.
OptionTheta;Option theta.;Тета опциона.
OptionRho;Option rho.;Ро опциона.
BidsVolume;Total volume in all buy orders.;Суммарный объем во всех заявках на покупку.
Bids;Bids;Бидов
BidsCount;Number of buy orders.;Количество заявок на покупку.
AsksVolume;Total volume in all sell orders.;Суммарный объем во всех заявках на продажу.
Asks;Asks;Офферов
AsksCount;Number of sell orders.;Количество заявок на продажу.
TradesOf;Trades;Сделок
Str594;Maximum bid during the session.;Максимальный бид за сессию.
Str595;Maximum ask during the session.;Минимальный оффер за сессию.
AveragePrice;Average price;Средневзвешенная цена
SettlementPrice;Settlement price.;Рассчетная цена.
